file,line,function_or_class,pattern,why_slow,suggested_safe_replacement,risk_level,can_auto_revise
src/autofocus/eval/evaluate.py,275,evaluate_pipeline,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/eval/evaluate.py,277,evaluate_pipeline,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/eval/evaluate.py,306,evaluate_pipeline,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/eval/evaluate.py,357,evaluate_pipeline,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/eval/evaluate.py,383,evaluate_pipeline,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/eval/summary.py,21,_read_csv,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/eval/summary.py,23,_read_csv,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/eval/summary.py,76,build_eval_summary,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/eval/summary.py,113,build_eval_summary,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/explain/exemplars.py,17,generate_exemplars,Pandas row iteration,Python-level loops over DataFrame rows are slow on large manifests.,Prefer vectorized operations or to_dict('records') for read-only iteration.,Low,Yes
src/autofocus/explain/report.py,24,_plot_gp_progress,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/explain/report.py,44,_plot_dataset_summary,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/explain/report.py,61,_plot_per_stack_hist,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/explain/report.py,78,_plot_per_op_summary,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/metrics/objectives.py,74,load_reference_peaks,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/metrics/objectives.py,133,curve_quality_penalties,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/preprocess/ops.py,349,anisotropic_diffusion,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/q1/curves.py,18,normalize_focus_curve,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/q1/exports.py,26,read_csv,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/labels.py,53,_discover_stack_dirs,Glob scan,Repeated filesystem scans are expensive on large trees.,Avoid uncontrolled repeated glob scans inside loops.,Low,No
src/autofocus/q1/labels.py,84,build_manifest,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/labels.py,152,build_manifest,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/q1/labels.py,155,build_manifest,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/q1/labels.py,170,build_manifest,pd.concat call,Repeated concat inside loops is quadratic in data size.,"If inside a loop, collect frames in a list and concatenate once.",Medium,No
src/autofocus/q1/stages.py,42,_load_manifest,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,49,_load_labels,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,266,stage03_run_preprocessed_focus_curves,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/q1/stages.py,270,stage03_run_preprocessed_focus_curves,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/q1/stages.py,742,stage08_statistics_and_sensitivity,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,774,stage08_statistics_and_sensitivity,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,792,_copy_table_with_latex,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,849,stage09_export_paper_assets,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,851,stage09_export_paper_assets,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,853,stage09_export_paper_assets,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,855,stage09_export_paper_assets,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,857,stage09_export_paper_assets,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,858,stage09_export_paper_assets,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,859,stage09_export_paper_assets,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,860,stage09_export_paper_assets,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,861,stage09_export_paper_assets,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/stages.py,879,export_reproducibility,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/q1/statistics.py,96,friedman_wilcoxon_holm,range(len(...)) loop,Often indicates scalar Python work over data that may be vectorizable.,Prefer vectorized NumPy/Pandas or direct iteration.,Medium,No
src/autofocus/q1/workflows.py,72,_filter_manifest,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/q1/workflows.py,74,_filter_manifest,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/q1/workflows.py,76,_filter_manifest,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/q1/workflows.py,78,_filter_manifest,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
src/autofocus/utils/run_artifacts.py,71,_read_csv,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/utils/run_artifacts.py,73,_read_csv,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/utils/run_artifacts.py,128,_load_summary_metrics,Glob scan,Repeated filesystem scans are expensive on large trees.,Avoid uncontrolled repeated glob scans inside loops.,Low,No
src/autofocus/utils/run_artifacts.py,170,build_run_summary_line,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
src/autofocus/utils/run_artifacts.py,182,build_run_summary_line,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
scripts/make_ablation_table.py,11,main,Glob scan,Repeated filesystem scans are expensive on large trees.,Avoid uncontrolled repeated glob scans inside loops.,Low,No
scripts/make_ablation_table.py,13,main,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
scripts/make_ablation_table.py,17,main,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
scripts/make_ablation_table.py,29,main,pd.concat call,Repeated concat inside loops is quadratic in data size.,"If inside a loop, collect frames in a list and concatenate once.",Medium,No
tests/test_determinism.py,55,test_determinism,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
tests/test_determinism.py,56,test_determinism,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
tests/test_determinism.py,62,test_determinism,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
tests/test_determinism.py,63,test_determinism,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
tests/test_q1_pipeline.py,241,test_smoke_pipeline_records_reference_metadata,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
tests/test_q1_pipeline.py,243,test_smoke_pipeline_records_reference_metadata,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
tests/test_repo_sanity.py,6,test_repo_sanity_no_placeholders,Glob scan,Repeated filesystem scans are expensive on large trees.,Avoid uncontrolled repeated glob scans inside loops.,Low,No
tests/test_trial_results_written.py,39,test_trial_results_written,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/focus_measure_selection.py,550,safe_peak_argmax,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
checl/focus_measure_selection.py,622,run_self_checks,Pandas row iteration,Python-level loops over DataFrame rows are slow on large manifests.,Prefer vectorized operations or to_dict('records') for read-only iteration.,Low,Yes
checl/focus_measure_selection.py,712,normalize_polarity,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
checl/focus_measure_selection.py,872,compute_metrics,pd.concat call,Repeated concat inside loops is quadratic in data size.,"If inside a loop, collect frames in a list and concatenate once.",Medium,No
checl/focus_measure_selection.py,1293,main,range(len(...)) loop,Often indicates scalar Python work over data that may be vectorizable.,Prefer vectorized NumPy/Pandas or direct iteration.,Medium,No
checl/focus_measure_selection.py,1525,main,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/focus_measure_selection.py,1527,main,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/focus_measure_selection.py,1528,main,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/focus_measure_selection.py,1530,main,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/focus_measure_selection.py,1531,main,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/focus_measure_selection.py,1533,main,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/focus_measure_selection.py,1560,main,pd.concat call,Repeated concat inside loops is quadratic in data size.,"If inside a loop, collect frames in a list and concatenate once.",Medium,No
checl/focus_measure_selection.py,1642,main,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/focus_measure_selection.py,1643,main,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/focus_measure_selection.py,1702,main,pd.concat call,Repeated concat inside loops is quadratic in data size.,"If inside a loop, collect frames in a list and concatenate once.",Medium,No
checl/genetic_composite.py,238,load_reference,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/genetic_composite.py,278,curve_metrics,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
checl/genetic_composite.py,775,main,range(len(...)) loop,Often indicates scalar Python work over data that may be vectorizable.,Prefer vectorized NumPy/Pandas or direct iteration.,Medium,No
checl/gp_focus_competitive_explainable.py,467,curve_metrics,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
checl/gp_focus_competitive_explainable.py,624,load_reference,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/gp_focus_competitive_explainable.py,934,evolve_one_run,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/gp_focus_competitive_explainable.py,937,evolve_one_run,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/gp_focus_competitive_explainable.py,940,evolve_one_run,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/gp_focus_competitive_explainable.py,943,evolve_one_run,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/gp_focus_competitive_explainable.py,946,evolve_one_run,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/single_focus_fitness.py,36,load_reference,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/single_focus_fitness.py,87,curve_metrics,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
checl/top_composite_list.py,41,load_archive,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/top_composite_list.py,48,load_populations,Glob scan,Repeated filesystem scans are expensive on large trees.,Avoid uncontrolled repeated glob scans inside loops.,Low,No
checl/top_composite_list.py,53,load_populations,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/top_composite_list.py,54,load_populations,pd.concat call,Repeated concat inside loops is quadratic in data size.,"If inside a loop, collect frames in a list and concatenate once.",Medium,No
checl/top_composite_list.py,89,main,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
checl/top_measure_comparision.py,200,load_reference,CSV read,CSV parsing is CPU-heavy; repeated reads can dominate small stages.,Cache repeated reads or use Parquet for repeated internal processing.,Low,Yes
checl/top_measure_comparision.py,251,curve_metrics,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
checl/top_measure_comparision.py,390,main,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
checl/top_measure_comparision.py,431,main,DataFrame/array copy,Large unnecessary copies increase memory and runtime.,Check whether copy is necessary on large data.,Low,No
checl/top_measure_comparision.py,456,main,pd.concat call,Repeated concat inside loops is quadratic in data size.,"If inside a loop, collect frames in a list and concatenate once.",Medium,No
