dataset,stack_id,group_id,path,stack_index,source_stack_file,source_stack_index,n_slices,best_focus_index,label_source,confidence,outer_split,inner_split
BMA,BMA_000019,BMA_000019,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,19,14,10,q1_revision_surrogate,,trainval,train
BMA,BMA_000020,BMA_000020,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos005_0,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,20,14,9,q1_revision_surrogate,,trainval,val
BMA,BMA_000021,BMA_000021,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos005_1,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,21,14,9,q1_revision_surrogate,,test,test
BMA,BMA_000022,BMA_000022,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos005_2,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,22,14,9,q1_revision_surrogate,,trainval,train
BMA,BMA_000023,BMA_000023,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos005_3,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,23,14,9,q1_revision_surrogate,,trainval,val
BMA,BMA_000024,BMA_000024,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos006_0,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,24,14,8,q1_revision_surrogate,,trainval,train
BMA,BMA_000025,BMA_000025,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos006_1,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,25,14,8,q1_revision_surrogate,,trainval,train
BMA,BMA_000026,BMA_000026,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos006_2,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,26,14,8,q1_revision_surrogate,,trainval,train
BMA,BMA_000027,BMA_000027,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos006_3,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,27,14,8,q1_revision_surrogate,,trainval,train
BMA,BMA_000028,BMA_000028,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos007_0,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,28,14,8,q1_revision_surrogate,,trainval,train
BMA,BMA_000029,BMA_000029,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos007_1,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,29,14,8,q1_revision_surrogate,,trainval,train
BMA,BMA_000030,BMA_000030,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos007_2,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,30,14,8,q1_revision_surrogate,,trainval,train
BMA,BMA_000031,BMA_000031,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos007_3,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,31,14,8,q1_revision_surrogate,,trainval,val
BMA,BMA_000032,BMA_000032,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos008_0,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,32,14,3,q1_revision_surrogate,,trainval,val
BMA,BMA_000033,BMA_000033,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos008_1,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,33,14,3,q1_revision_surrogate,,trainval,train
BMA,BMA_000034,BMA_000034,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos008_2,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,34,14,5,q1_revision_surrogate,,test,test
BMA,BMA_000035,BMA_000035,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos008_3,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,35,14,5,q1_revision_surrogate,,trainval,train
BMA,BMA_000036,BMA_000036,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,36,14,3,q1_revision_surrogate,,trainval,train
BMA,BMA_000037,BMA_000037,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos009_1,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,37,14,3,q1_revision_surrogate,,trainval,train
PBS,PBS_000000,PBS_000000,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos001_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,0,9,4,q1_revision_surrogate,,trainval,train
PBS,PBS_000001,PBS_000001,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos019_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,1,9,1,q1_revision_surrogate,,test,test
PBS,PBS_000002,PBS_000002,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos085_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,2,9,1,q1_revision_surrogate,,trainval,train
PBS,PBS_000003,PBS_000003,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos100_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,3,15,7,q1_revision_surrogate,,trainval,train
PBS,PBS_000004,PBS_000004,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos113_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,4,9,1,q1_revision_surrogate,,trainval,train
PBS,PBS_000005,PBS_000005,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos134_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,5,9,7,q1_revision_surrogate,,test,test
PBS,PBS_000006,PBS_000006,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos179_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,6,9,7,q1_revision_surrogate,,trainval,train
PBS,PBS_000007,PBS_000007,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos192_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,7,9,6,q1_revision_surrogate,,trainval,train
PBS,PBS_000008,PBS_000008,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos206_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,8,9,5,q1_revision_surrogate,,trainval,train
PBS,PBS_000009,PBS_000009,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos207_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,9,9,6,q1_revision_surrogate,,test,test
PBS,PBS_000010,PBS_000010,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos215_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,10,9,7,q1_revision_surrogate,,trainval,val
PBS,PBS_000011,PBS_000011,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos216_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,11,9,2,q1_revision_surrogate,,trainval,train
PBS,PBS_000012,PBS_000012,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos217_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,12,9,1,q1_revision_surrogate,,test,test
PBS,PBS_000013,PBS_000013,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos218_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,13,9,2,q1_revision_surrogate,,test,test
PBS,PBS_000014,PBS_000014,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos219_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,14,9,3,q1_revision_surrogate,,trainval,train
PBS,PBS_000015,PBS_000015,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos227_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,15,9,1,q1_revision_surrogate,,trainval,train
PBS,PBS_000016,PBS_000016,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos231_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,16,9,7,q1_revision_surrogate,,trainval,val
PBS,PBS_000017,PBS_000017,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos237_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,17,9,3,q1_revision_surrogate,,trainval,val
PBS,PBS_000018,PBS_000018,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos238_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,18,9,1,q1_revision_surrogate,,trainval,train
PBS,PBS_000019,PBS_000019,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos240_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,19,15,5,q1_revision_surrogate,,trainval,train
PBS,PBS_000020,PBS_000020,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos241_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,20,15,3,q1_revision_surrogate,,trainval,train
PBS,PBS_000021,PBS_000021,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos255_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,21,9,1,q1_revision_surrogate,,trainval,train
PBS,PBS_000022,PBS_000022,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos256_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,22,9,6,q1_revision_surrogate,,trainval,train
PBS,PBS_000023,PBS_000023,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos278_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,23,15,2,q1_revision_surrogate,,trainval,val
PBS,PBS_000024,PBS_000024,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos280_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,24,15,4,q1_revision_surrogate,,test,test
PBS,PBS_000025,PBS_000025,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos281_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,25,15,2,q1_revision_surrogate,,trainval,val
PBS,PBS_000026,PBS_000026,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos297_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,26,15,10,q1_revision_surrogate,,trainval,val
PBS,PBS_000027,PBS_000027,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos298_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,27,15,8,q1_revision_surrogate,,trainval,train
PBS,PBS_000028,PBS_000028,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos301_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,28,15,9,q1_revision_surrogate,,trainval,train
PBS,PBS_000029,PBS_000029,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos302_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,29,15,9,q1_revision_surrogate,,test,test
PBS,PBS_000030,PBS_000030,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos317_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,30,15,4,q1_revision_surrogate,,trainval,train
PBS,PBS_000031,PBS_000031,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos318_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,31,15,1,q1_revision_surrogate,,test,test
PBS,PBS_000032,PBS_000032,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos321_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,32,15,1,q1_revision_surrogate,,trainval,train
PBS,PBS_000033,PBS_000033,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos322_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,33,15,4,q1_revision_surrogate,,trainval,train
PBS,PBS_000034,PBS_000034,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos336_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,34,15,8,q1_revision_surrogate,,trainval,val
PBS,PBS_000035,PBS_000035,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos337_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,35,15,10,q1_revision_surrogate,,trainval,train
PBS,PBS_000036,PBS_000036,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos343_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,36,15,8,q1_revision_surrogate,,trainval,val
PBS,PBS_000037,PBS_000037,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos344_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,37,15,9,q1_revision_surrogate,,trainval,train
PBS,PBS_000038,PBS_000038,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos356_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,38,15,3,q1_revision_surrogate,,trainval,train
PBS,PBS_000039,PBS_000039,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos357_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,39,15,3,q1_revision_surrogate,,trainval,train
PBS,PBS_000040,PBS_000040,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos362_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,40,15,3,q1_revision_surrogate,,trainval,val
PBS,PBS_000041,PBS_000041,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,41,15,3,q1_revision_surrogate,,trainval,train
PBS,PBS_000042,PBS_000042,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos374_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,42,15,8,q1_revision_surrogate,,trainval,train
PBS,PBS_000043,PBS_000043,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos375_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,43,15,9,q1_revision_surrogate,,trainval,train
PBS,PBS_000044,PBS_000044,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos384_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,44,15,10,q1_revision_surrogate,,trainval,val
PBS,PBS_000045,PBS_000045,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos385_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,45,15,8,q1_revision_surrogate,,test,test
PBS,PBS_000046,PBS_000046,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos386_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,46,15,7,q1_revision_surrogate,,test,test
PBS,PBS_000047,PBS_000047,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos395_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,47,15,2,q1_revision_surrogate,,trainval,train
PBS,PBS_000048,PBS_000048,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos396_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,48,15,2,q1_revision_surrogate,,trainval,train
PBS,PBS_000049,PBS_000049,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos404_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,49,15,1,q1_revision_surrogate,,trainval,train
PBS,PBS_000050,PBS_000050,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos409_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,50,15,5,q1_revision_surrogate,,trainval,train
PBS,PBS_000051,PBS_000051,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos411_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,51,15,6,q1_revision_surrogate,,trainval,train
PBS,PBS_000052,PBS_000052,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos412_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,52,15,8,q1_revision_surrogate,,trainval,train
PBS,PBS_000053,PBS_000053,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos413_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,53,15,7,q1_revision_surrogate,,test,test
PBS,PBS_000054,PBS_000054,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos414_Cam01_RGB_MB,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/PBS_stacks.npy,54,15,8,q1_revision_surrogate,,test,test
