alpha,method,weighted_mean,weighted_std,value_generalization_score,dataset_weighting_mode,final_rank
0.9,single::ssr,0.31797131453931154,0.03123962842023223,0.2892981459274036,equal_dataset,3
0.9,conventional_clahe_unsharp,0.3157134545191918,0.10551036573719606,0.2946931456409922,equal_dataset,4
0.9,single::unsharp_mask,0.33912604454969353,0.04659701360242988,0.30987314145496714,equal_dataset,5
0.9,single::laplacian_sharpen,0.33658891793722767,0.0733362326683604,0.31026364941034096,equal_dataset,6
0.9,single::dog_filter,0.382713341858316,0.04482164152245683,0.34892417182473007,equal_dataset,7
0.9,identity,0.3836132711738706,0.08857665629424552,0.3541096096859081,equal_dataset,8
0.9,single::gamma_correction,0.38375003996356843,0.08788187553122868,0.35416322352033447,equal_dataset,9
0.9,single::msr,0.39590911852449795,0.04118572265237453,0.3604367789372856,equal_dataset,10
0.9,single::fft_highpass_filter,0.41238464010284714,0.1120459025089637,0.3823507663434588,equal_dataset,11
0.9,single::bilateral_filter,0.4244422441117656,0.1286008264325729,0.39485810234384633,equal_dataset,12
0.9,single::median_filter,0.42807286227301666,0.11359306760093803,0.39662488280580876,equal_dataset,13
0.9,single::nlm_denoising,0.43110901916612265,0.14378052757320572,0.40237617000683096,equal_dataset,14
0.9,single::gaussian_blur,0.44167440099868444,0.10593370203388647,0.4081003311022046,equal_dataset,15
0.9,single::morph_open_close,0.44480189413228804,0.12300120788025178,0.4126218255070844,equal_dataset,16
0.9,single::gradient_morph,0.45632052377685467,0.07026549240984016,0.4177150206401532,equal_dataset,17
0.9,single::tophat_bothat,0.4992646950644897,0.10322131750916111,0.4596603573089569,equal_dataset,18
