stack_id,dataset,group_id,stack_index,n_slices,reference_focus_index,label_source,label_confidence,notes
BMA_000000,BMA,BMA_000000,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000016,BMA,BMA_000016,0,14,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000017,BMA,BMA_000017,0,14,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000018,BMA,BMA_000018,0,14,10,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000019,BMA,BMA_000019,0,14,10,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000020,BMA,BMA_000020,0,14,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000021,BMA,BMA_000021,0,14,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000022,BMA,BMA_000022,0,14,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000023,BMA,BMA_000023,0,14,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000024,BMA,BMA_000024,0,14,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000025,BMA,BMA_000025,0,14,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000026,BMA,BMA_000026,0,14,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000027,BMA,BMA_000027,0,14,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000028,BMA,BMA_000028,0,14,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000029,BMA,BMA_000029,0,14,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000030,BMA,BMA_000030,0,14,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000031,BMA,BMA_000031,0,14,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000032,BMA,BMA_000032,0,14,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000033,BMA,BMA_000033,0,14,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000034,BMA,BMA_000034,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000035,BMA,BMA_000035,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000036,BMA,BMA_000036,0,14,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
BMA_000037,BMA,BMA_000037,0,14,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000000,PBS,PBS_000000,0,9,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000001,PBS,PBS_000001,0,9,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000002,PBS,PBS_000002,0,9,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000003,PBS,PBS_000003,0,15,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000004,PBS,PBS_000004,0,9,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000005,PBS,PBS_000005,0,9,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000006,PBS,PBS_000006,0,9,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000007,PBS,PBS_000007,0,9,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000008,PBS,PBS_000008,0,9,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000009,PBS,PBS_000009,0,9,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000010,PBS,PBS_000010,0,9,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000011,PBS,PBS_000011,0,9,2,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000012,PBS,PBS_000012,0,9,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000013,PBS,PBS_000013,0,9,2,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000014,PBS,PBS_000014,0,9,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000015,PBS,PBS_000015,0,9,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000016,PBS,PBS_000016,0,9,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000017,PBS,PBS_000017,0,9,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000018,PBS,PBS_000018,0,9,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000019,PBS,PBS_000019,0,15,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000020,PBS,PBS_000020,0,15,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000021,PBS,PBS_000021,0,9,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000022,PBS,PBS_000022,0,9,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000023,PBS,PBS_000023,0,15,2,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000024,PBS,PBS_000024,0,15,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000025,PBS,PBS_000025,0,15,2,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000026,PBS,PBS_000026,0,15,10,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000027,PBS,PBS_000027,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000028,PBS,PBS_000028,0,15,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000029,PBS,PBS_000029,0,15,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000030,PBS,PBS_000030,0,15,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000031,PBS,PBS_000031,0,15,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000032,PBS,PBS_000032,0,15,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000033,PBS,PBS_000033,0,15,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000034,PBS,PBS_000034,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000035,PBS,PBS_000035,0,15,10,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000036,PBS,PBS_000036,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000037,PBS,PBS_000037,0,15,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000038,PBS,PBS_000038,0,15,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000039,PBS,PBS_000039,0,15,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000040,PBS,PBS_000040,0,15,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000041,PBS,PBS_000041,0,15,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000042,PBS,PBS_000042,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000043,PBS,PBS_000043,0,15,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000044,PBS,PBS_000044,0,15,10,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000045,PBS,PBS_000045,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000046,PBS,PBS_000046,0,15,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000047,PBS,PBS_000047,0,15,2,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000048,PBS,PBS_000048,0,15,2,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000049,PBS,PBS_000049,0,15,1,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000050,PBS,PBS_000050,0,15,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000051,PBS,PBS_000051,0,15,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000052,PBS,PBS_000052,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000053,PBS,PBS_000053,0,15,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000054,PBS,PBS_000054,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000055,PBS,PBS_000055,0,15,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000056,PBS,PBS_000056,0,15,10,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000057,PBS,PBS_000057,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000058,PBS,PBS_000058,0,15,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000059,PBS,PBS_000059,0,15,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000060,PBS,PBS_000060,0,15,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000061,PBS,PBS_000061,0,15,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000062,PBS,PBS_000062,0,15,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000063,PBS,PBS_000063,0,15,3,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000064,PBS,PBS_000064,0,15,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000065,PBS,PBS_000065,0,15,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000066,PBS,PBS_000066,0,15,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000067,PBS,PBS_000067,0,15,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000068,PBS,PBS_000068,0,15,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000069,PBS,PBS_000069,0,15,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000070,PBS,PBS_000070,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000071,PBS,PBS_000071,0,15,11,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000072,PBS,PBS_000072,0,15,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000073,PBS,PBS_000073,0,15,10,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000074,PBS,PBS_000074,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000075,PBS,PBS_000075,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
PBS_000076,PBS,PBS_000076,0,15,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000000,TBF,TBF_000000,0,14,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000001,TBF,TBF_000001,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000002,TBF,TBF_000002,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000003,TBF,TBF_000003,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000004,TBF,TBF_000004,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000005,TBF,TBF_000005,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000006,TBF,TBF_000006,0,14,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000007,TBF,TBF_000007,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000008,TBF,TBF_000008,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000009,TBF,TBF_000009,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000010,TBF,TBF_000010,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000011,TBF,TBF_000011,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000012,TBF,TBF_000012,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000013,TBF,TBF_000013,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000014,TBF,TBF_000014,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000015,TBF,TBF_000015,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000016,TBF,TBF_000016,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000017,TBF,TBF_000017,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000018,TBF,TBF_000018,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000019,TBF,TBF_000019,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000020,TBF,TBF_000020,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000021,TBF,TBF_000021,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000022,TBF,TBF_000022,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000023,TBF,TBF_000023,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000024,TBF,TBF_000024,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000025,TBF,TBF_000025,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000026,TBF,TBF_000026,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000027,TBF,TBF_000027,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000028,TBF,TBF_000028,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000029,TBF,TBF_000029,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000030,TBF,TBF_000030,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000031,TBF,TBF_000031,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000032,TBF,TBF_000032,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000033,TBF,TBF_000033,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000034,TBF,TBF_000034,0,14,9,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000035,TBF,TBF_000035,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000036,TBF,TBF_000036,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000037,TBF,TBF_000037,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000038,TBF,TBF_000038,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000039,TBF,TBF_000039,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000040,TBF,TBF_000040,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000041,TBF,TBF_000041,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000042,TBF,TBF_000042,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000043,TBF,TBF_000043,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000044,TBF,TBF_000044,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000045,TBF,TBF_000045,0,14,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000046,TBF,TBF_000046,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000047,TBF,TBF_000047,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000048,TBF,TBF_000048,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000049,TBF,TBF_000049,0,14,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000050,TBF,TBF_000050,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000051,TBF,TBF_000051,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000052,TBF,TBF_000052,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000053,TBF,TBF_000053,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000054,TBF,TBF_000054,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000055,TBF,TBF_000055,0,14,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000056,TBF,TBF_000056,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000057,TBF,TBF_000057,0,14,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000058,TBF,TBF_000058,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000059,TBF,TBF_000059,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000060,TBF,TBF_000060,0,14,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000061,TBF,TBF_000061,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000062,TBF,TBF_000062,0,14,4,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000063,TBF,TBF_000063,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000064,TBF,TBF_000064,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000065,TBF,TBF_000065,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000066,TBF,TBF_000066,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000067,TBF,TBF_000067,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000068,TBF,TBF_000068,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000069,TBF,TBF_000069,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000070,TBF,TBF_000070,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000071,TBF,TBF_000071,0,14,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000072,TBF,TBF_000072,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000073,TBF,TBF_000073,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000074,TBF,TBF_000074,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000075,TBF,TBF_000075,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000076,TBF,TBF_000076,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000077,TBF,TBF_000077,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000078,TBF,TBF_000078,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000079,TBF,TBF_000079,0,14,8,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000080,TBF,TBF_000080,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000081,TBF,TBF_000081,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000082,TBF,TBF_000082,0,14,7,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000083,TBF,TBF_000083,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000084,TBF,TBF_000084,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000085,TBF,TBF_000085,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000086,TBF,TBF_000086,0,14,5,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
TBF_000087,TBF,TBF_000087,0,14,6,q1_revision_surrogate,1.0,source_column=best_focus_index; imported_label_source=q1_revision_surrogate
