dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,raw_curve,normalized_curve,heldout_dataset,optimized_for_dataset,evaluation_dataset,selection_role,source_method,workflow_origin,selection_endpoint,train_datasets,evaluation_scope
PBS,PBS_000009,PBS_000009,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,6,q1_revision_surrogate,1.0,2.428198955953121,0,,"[-4355561.0, -4217333.0, -3740966.25, -3005729.5, -2723465.75, -4062460.25, -4452841.0, -4276096.0, -4697493.0]","[0.1732154406683089, 0.24323879014334782, 0.48455600093666384, 0.8570112190700508, 1.0, 0.3216940141023889, 0.12393547252197253, 0.2134707107006755, 0.0]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000012,PBS_000012,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,1,q1_revision_surrogate,1.0,2.949375717085786,0,,"[-244957.875, -237308.640625, -246374.390625, -227133.921875, -232630.484375, -236829.703125, -228179.640625, -224055.140625, -242611.5625]","[0.06346609429080279, 0.40618524367978315, 0.0, 0.8620571367765494, 0.6157871008210402, 0.4276437380288316, 0.8152043639459211, 1.0, 0.16859115449667889]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000013,PBS_000013,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,2,q1_revision_surrogate,1.0,2.982452212017961,0,,"[-230004.96875, -237369.734375, -233897.796875, -232289.984375, -223631.609375, -229344.9375, -230514.640625, -215580.421875, -226533.53125]","[0.33799899033069536, 0.0, 0.1593413055138844, 0.23313034773355057, 0.6304983234326461, 0.36829050365861704, 0.3146080790754642, 1.0, 0.49731734881492934]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000024,PBS_000024,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,4,q1_revision_surrogate,1.0,4.739809563034214,0,,"[-281873.84375, -279581.34375, -274511.40625, -269825.625, -264312.78125, -261326.875, -264669.21875, -289044.5, -279525.0625, -289329.4375, -300453.09375, -294409.71875, -286265.78125, -278966.4375, -281566.5625]","[0.47485421779992476, 0.5334466418378341, 0.6630256725229805, 0.7827863189565182, 0.9236852845638195, 1.0, 0.914575344697729, 0.29158436757960415, 0.5348850954323308, 0.2843018468274551, 0.0, 0.15445844738063272, 0.3626037208106137, 0.5491626059571627, 0.4827078070251805]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000029,PBS_000029,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,9,q1_revision_surrogate,1.0,4.79816970101092,0,,"[-227660.078125, -328375.84375, -312281.9375, -313658.3125, -312706.28125, -302846.28125, -284079.71875, -234380.265625, -237264.15625, -245107.71875, -255614.4375, -267463.78125, -295570.6875, -283763.34375, -328017.875]","[1.0, 0.0, 0.15979530265324338, 0.14612936871073903, 0.15558202236522986, 0.253481293038624, 0.4398132181701319, 0.933275714499142, 0.9046417602507304, 0.8267635606329632, 0.7224430633920428, 0.604791733667566, 0.3257201694930768, 0.4429544840686406, 0.003554247418749144]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000031,PBS_000031,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,1,q1_revision_surrogate,1.0,4.612744249054231,0,,"[-174444.59375, -194592.1875, -193432.34375, -193647.15625, -200954.953125, -193491.609375, -203801.28125, -186693.8125, -198029.46875, -191377.234375, -195039.796875, -189297.5, -186141.234375, -192009.296875, -193458.921875]","[1.0, 0.3136966236398436, 0.35320529606754847, 0.34588796845693165, 0.09695671982746691, 0.35118648434023764, 0.0, 0.5827452007315198, 0.19660980142940174, 0.4232101075777027, 0.29844935246866666, 0.4940537398846515, 0.6015681052230433, 0.4016796641310434, 0.3522999444334447]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000045,PBS_000045,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,4.537674988969229,0,,"[-278393.625, -306747.15625, -301376.125, -306487.15625, -287252.84375, -273334.65625, -267291.3125, -276126.4375, -280277.53125, -285630.4375, -290536.90625, -305860.5, -303543.03125, -318392.0, -315504.96875]","[0.7827365336327422, 0.22788037342941814, 0.33298720296082124, 0.23296836759779407, 0.6093686361851786, 0.881736547086573, 1.0, 0.827103598165876, 0.7458699797336387, 0.6411178421033964, 0.5451021329214015, 0.24523153431154915, 0.2905825631015238, 0.0, 0.05649691601507318]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000046,PBS_000046,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,7,q1_revision_surrogate,1.0,4.70804132707417,0,,"[-150526.421875, -152856.1875, -143383.015625, -145844.765625, -141785.609375, -145338.75, -146763.1875, -150758.828125, -152566.921875, -150907.640625, -150177.921875, -153222.125, -152072.484375, -156274.75, -151749.625]","[0.3967335450579906, 0.23593963151282477, 0.8897514841395224, 0.7198483778260658, 0.9999999999999999, 0.7547721623414086, 0.6564614662921044, 0.3806935150786418, 0.2559039366767137, 0.37042289214444, 0.4207860412701322, 0.2106836477750039, 0.2900286313564577, 0.0, 0.31231148327680747]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000053,PBS_000053,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,9,7,q1_revision_surrogate,1.0,4.742345648002811,0,,"[-269955.5, -294120.8125, -276984.25, -280059.0, -279973.21875, -281435.15625, -270561.90625, -268629.96875, -277275.6875, -267787.09375, -273823.65625, -281759.8125, -305489.78125, -293462.90625, -293113.53125]","[0.9424866927589711, 0.3015426619123637, 0.7560609903471736, 0.6745084485025106, 0.6767836510328342, 0.6380082321717782, 0.926402792904352, 0.9776441666127912, 0.7483311037177389, 1.0, 0.8398903924289217, 0.6293972743985425, 0.0, 0.3189925121385578, 0.3282590929360142]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000054,PBS_000054,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,8,q1_revision_surrogate,1.0,4.709199249977246,0,,"[-254062.265625, -235464.578125, -227248.015625, -248778.953125, -249466.90625, -254244.6875, -263650.21875, -254855.65625, -268650.90625, -254637.875, -250986.828125, -240410.484375, -227675.078125, -214741.65625, -217129.40625]","[0.2706147947708417, 0.6155961755171886, 0.7680108817132496, 0.368618616007457, 0.3558572972170824, 0.26723092511952956, 0.09276121444835533, 0.2558976427978501, 0.0, 0.25993741797557934, 0.327663214105186, 0.5238511364005249, 0.7600890037424004, 1.0, 0.9557079721940113]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000069,PBS_000069,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,9,q1_revision_surrogate,1.0,4.648198865936138,0,,"[-152929.546875, -167523.8125, -158888.0, -156350.671875, -155728.453125, -151063.359375, -153806.34375, -153389.625, -155511.25, -152020.9375, -152487.875, -152602.46875, -157621.640625, -157714.828125, -161958.25]","[0.8866259946899244, 0.0, 0.5246400226299968, 0.6787869410490485, 0.7165877686006897, 1.0, 0.8333591211511682, 0.8586754807213122, 0.7297832209585664, 0.9418255306990524, 0.9134582982508266, 0.906496536680244, 0.6015734682273517, 0.5959121720715085, 0.33811721085290597]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000072,PBS_000072,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,4.513365810038522,0,,"[-175366.828125, -184842.421875, -186954.75, -180604.03125, -177441.609375, -176368.375, -173883.0, -174174.0625, -179771.0, -180239.03125, -186106.65625, -179587.34375, -178695.265625, -183522.453125, -187319.3125]","[0.8895658220959061, 0.18434303496588067, 0.02713263032547062, 0.49978602760243923, 0.7351498504519003, 0.8150255138826221, 0.9999999999999999, 0.9783376205339075, 0.5617845297956563, 0.5269512189449299, 0.09025216181895143, 0.575453179583312, 0.6418462561807787, 0.2825819491024788, 0.0]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000074,PBS_000074,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,4.594429697026499,0,,"[-405666.96875, -467169.25, -458565.4375, -464996.5625, -476592.09375, -456845.53125, -414839.59375, -424471.90625, -429349.84375, -444869.4375, -437919.40625, -447273.5, -480033.90625, -483026.9375, -452339.5625]","[1.0, 0.20498570198814875, 0.3162035920548378, 0.23307112569121868, 0.08318053709141396, 0.3384361016821119, 0.8814293083591764, 0.7569164284337951, 0.6938613680605966, 0.4932460627448224, 0.5830862134364552, 0.4621697510703816, 0.0386896646723374, 0.0, 0.3966828774087373]",,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
TBF,TBF_000003,TBF_000003,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,6,q1_revision_surrogate,1.0,2.739422359969467,0,,"[-8727071.0, -8550153.0, -8451461.0, -8659696.0, -8653788.0, -8639715.0, -8753847.0, -8698948.0, -7986871.5, -8529156.0, -9374063.0, -6409231.0, -8684234.0, -8618107.0]","[0.21822214547063712, 0.2778943292571046, 0.31118188146916925, 0.24094687321237762, 0.2429395662216274, 0.2476862095390228, 0.20919094235356336, 0.22770767449892607, 0.46788199128989433, 0.28497634941878663, 0.0, 1.0, 0.23267051893665475, 0.2549743122038618]",,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000011,TBF_000011,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,6,q1_revision_surrogate,1.0,3.0312496919650584,0,,"[-8529941.0, -8074334.0, -8391736.0, -8450642.0, -8640332.0, -8575495.0, -8636325.0, -8433686.0, -8587167.0, -8496388.0, -8382587.0, -8061441.5, -7703543.0, -8036836.5]","[0.11783976968132631, 0.6041894172540455, 0.26537032352002426, 0.20248956808843827, 0.0, 0.06921195701486674, 0.004277377296274828, 0.22058969522485852, 0.05675237433402826, 0.15365679998377435, 0.2751366636457089, 0.6179518546865943, 1.0, 0.6442171075877279]",,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000017,TBF_000017,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,3.035500993952155,0,,"[-9409040.0, -8209309.5, -8392053.0, -8696167.0, -9018310.0, -8911337.0, -9174423.0, -9107485.0, -8959593.0, -8326477.5, -8546800.0, -8345312.0, -7566521.5, -7510062.0]","[0.0, 0.6317769347512188, 0.535544382294055, 0.3753982405272731, 0.20575804459030067, 0.2620899241592056, 0.12354908798311513, 0.15879857481234644, 0.23667836067611103, 0.5700763779253893, 0.4540547599814216, 0.5601581482249925, 0.9702684812567602, 1.0]",,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000024,TBF_000024,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,6,q1_revision_surrogate,1.0,3.0578042860142887,0,,"[-8597464.0, -8179136.0, -8416731.0, -8547192.0, -8748310.0, -8703751.0, -8323682.5, -8523686.0, -8288420.0, -8641974.0, -8186596.0, -5911045.0, -5267144.5, -8166980.5]","[0.04333203922651767, 0.16350098839023885, 0.09524942149403698, 0.05777317970087892, 0.0, 0.012800023440425341, 0.12197854425479053, 0.06452551595148234, 0.1321080540410963, 0.030546091531701094, 0.1613580279363334, 0.8150330686662268, 1.0, 0.16699277871161253]",,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000026,TBF_000026,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,6,q1_revision_surrogate,1.0,2.811266341013834,0,,"[-8620258.0, -8749389.0, -8662399.0, -8546643.0, -8821721.0, -8696153.0, -8690316.0, -8621567.0, -8555922.0, -8647262.0, -9146511.0, -8178410.5, -8472669.0, -8659558.0]","[0.54359335626828, 0.41020741131731675, 0.5000637847000389, 0.6196340152701089, 0.33549202794544575, 0.46519756988039984, 0.47122690257881283, 0.5422412239225163, 0.6100492665792446, 0.5156995580520825, 0.0, 1.0, 0.69604550354018, 0.5029983973771318]",,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
