dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice,heldout_dataset,optimized_for_dataset,evaluation_dataset,selection_role,source_method,workflow_origin,selection_endpoint,train_datasets,evaluation_scope
PBS,PBS_000045,PBS_000045,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,4.537674988969229,0,,2.0,11.0,0.291159854747551,8.0,0.7330762005906389,2.0,0.0943868975386509,0.01933635664245978,1.0,0.3025116659312819,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000046,PBS_000046,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,7,q1_revision_surrogate,1.0,4.70804132707417,0,,3.0,5.0,0.5253794598325253,5.0,1.2410310274468221,3.0,0.20067607863416076,0.03977536062973525,1.0,0.31386942180494465,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000053,PBS_000053,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,9,7,q1_revision_surrogate,1.0,4.742345648002811,0,,2.0,12.0,0.41177850385333936,4.0,0.8360520833182516,3.0,0.2548009489046605,0.012686878574230186,1.0,0.31615637653352074,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000054,PBS_000054,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,8,q1_revision_surrogate,1.0,4.709199249977246,0,,5.0,14.0,0.2842030240635883,6.0,0.7250789802446446,2.0,0.09197468266869595,0.01100262263889147,2.0,0.3139466166651497,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000069,PBS_000069,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,9,q1_revision_surrogate,1.0,4.648198865936138,0,,4.0,14.0,0.450053110248142,5.0,1.0494120094773247,2.0,0.22172117114066656,0.020406662410172426,1.0,0.3098799243957425,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000072,PBS_000072,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,4.513365810038522,0,,3.0,13.0,0.20663686558347016,8.0,0.33222679566090524,1.0,0.19282941701022532,0.04035226782262785,2.0,0.3008910540025681,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
PBS,PBS_000074,PBS_000074,0,test,test,PBS_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,4.594429697026499,0,,8.0,11.0,0.0,1.0,3.97464008344696,3.0,0.16435588388389577,0.00994629445376118,1.0,0.3062953131350999,,PBS,PBS,dataset_specific_gp_selected,PBS_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""PBS""]",dataset_outer_test_split
TBF,TBF_000003,TBF_000003,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,6,q1_revision_surrogate,1.0,2.739422359969467,0,,5.0,1.0,1.7673294810633453,2.0,10.153817384668045,3.0,0.4715369426663685,0.45798297865600424,1.0,0.1956730257121048,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000011,TBF_000011,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,6,q1_revision_surrogate,1.0,3.0312496919650584,0,,6.0,13.0,0.7378310377256778,5.0,1.8735021505559406,3.0,0.14629000156323493,0.3472488238035902,1.0,0.21651783514036133,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000017,TBF_000017,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,3.035500993952155,0,,6.0,13.0,0.0,3.0,0.15302970533107482,3.0,0.10074561906043285,0.13760077677013577,2.0,0.21682149956801108,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000024,TBF_000024,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,6,q1_revision_surrogate,1.0,3.0578042860142887,0,,6.0,2.0,1.0179741526221606,4.0,3.951949935105639,3.0,0.14220689325355731,0.24163266456932533,1.0,0.21841459185816348,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000026,TBF_000026,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,6,q1_revision_surrogate,1.0,2.811266341013834,0,,5.0,14.0,1.30395449645982,3.0,4.207271765397348,2.0,0.3848563560301901,0.42408577493648725,1.0,0.20080473864384527,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000033,TBF_000033,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,7,q1_revision_surrogate,1.0,2.732680994900875,0,,5.0,5.0,0.9175290806164894,3.0,2.7201507485496905,2.0,0.2384154223936091,0.13231199264522242,1.0,0.19519149963577678,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000052,TBF_000052,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,2.9413263800088316,0,,6.0,13.0,0.0,2.0,5.755246724479257,3.0,0.11299274759499149,0.3863454115025491,1.0,0.21009474142920226,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000053,TBF_000053,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,3.067101132008247,0,,6.0,13.0,0.0,2.0,5.755246724479257,3.0,0.11299274759499149,0.3863454115025491,1.0,0.21907865228630335,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000054,TBF_000054,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,6,q1_revision_surrogate,1.0,3.0369149029720575,0,,6.0,2.0,0.9385366712432439,3.0,2.541049139047251,4.0,0.1723756212843374,0.6149411754878977,1.0,0.21692249306943268,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000060,TBF_000060,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,10,4,q1_revision_surrogate,1.0,3.134587518987246,0,,6.0,2.0,1.1148961027047266,8.0,6.340669431073844,1.0,0.1508545237258805,0.21519188856520147,1.0,0.22389910849908898,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000072,TBF_000072,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,2.7978848869679496,0,,6.0,13.0,0.0,6.0,4.1281223521964785,2.0,0.06569915374987682,0.3663648272644341,1.0,0.1998489204977107,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000073,TBF_000073,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,7,q1_revision_surrogate,1.0,3.037566167069599,0,,5.0,13.0,0.6437711147900131,3.0,1.4383813883830256,3.0,0.1962146029450322,0.33912569468234993,1.0,0.2169690119335428,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000077,TBF_000077,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,2.997701718006283,0,,6.0,13.0,0.0,2.0,2.4015663429307863,3.0,0.15117773527367823,0.19830005685303345,1.0,0.2141215512861631,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000082,TBF_000082,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,2.8483138650190085,0,,6.0,13.0,0.0,3.0,0.23130850901076186,4.0,0.17181182622390925,0.2057335382130227,1.0,0.20345099035850062,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000084,TBF_000084,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,6,q1_revision_surrogate,1.0,2.805979949887842,0,,5.0,3.0,0.6373073889510138,5.0,2.3134053376409365,3.0,0.07443221112247496,0.23123453340077027,1.0,0.200427139277703,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000087,TBF_000087,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,6,q1_revision_surrogate,1.0,2.9358083329861984,0,,5.0,13.0,0.366254159249072,5.0,0.9570574640845867,2.0,0.0791105319435536,0.18398057642996557,1.0,0.2097005952132999,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000095,TBF_000095,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,8,q1_revision_surrogate,1.0,2.9319241229677573,0,,5.0,13.0,0.0,4.0,0.7861775757037819,3.0,0.26360431669697715,0.36537348596444397,1.0,0.20942315164055408,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000097,TBF_000097,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,3.0353774280520156,0,,6.0,13.0,0.0,1.0,3.1618722235163967,4.0,0.22142679437221993,0.2535783063087317,1.0,0.21681267343228683,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
TBF,TBF_000098,TBF_000098,0,test,test,TBF_specific_gp_workflow,q1_gp_dataset_specific,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,3.042749259970151,0,,6.0,13.0,0.0,1.0,3.1618722235163967,4.0,0.22142679437221993,0.2535783063087317,1.0,0.21733923285501078,,TBF,TBF,dataset_specific_gp_selected,TBF_specific_gp_workflow,fresh_gp_final_evaluation,q1_gp_rank_value_score_on_dataset_trainval,"[""TBF""]",dataset_outer_test_split
